strain_id	gene_name
20201024CSMT023	Bmp1-other
20201024CSMT023	Bmp1-other
20201024CSMT023	Bmp1-other
20201024WFFT012	Bmp1-other
20201024WFFT012	Bmp1-other
20201024WFFT012	Bmp1-other
20201024WFFT012	Bmp1-other
20201024ZZHT014	Bmp1-other
20201024ZZHT014	Bmp1-other
20201024ZZHT014	Bmp1-other
20201024ZZHT014	Bmp1-other
20201025NXT039	Bmp1-other
20201025NXT039	Bmp1-other
20201026CSMT031	Bmp1-other
20201026CSMT031	Bmp1-other
20201026CSMT031	Bmp1-other
20201026CSMT031	Bmp1-other
20201028LHCT017	Bmp1-other
20201028LHCT017	Bmp1-other
20201028LHCT017	Bmp1-other
20201028NXT045	Bmp1-other
20201028NXT045	Bmp1-other
20201028NXT050	Bmp1-other
20201028NXT050	Bmp1-other
20201028NXT052	Bmp1-other
20201028YMT088	Bmp1-other
20201028YMT088	Bmp1-other
20201028YMT088	Bmp1-other
20201028YMT088	Bmp1-other
20201028YMT090	Bmp1-other
20201028YMT090	Bmp1-other
20201028YMT090	Bmp1-other
20201028YMT090	Bmp1-other
20201030CZHT120	Bmp1-other
20201030CZHT120	Bmp1-other
20201030CZHT120	Bmp1-other
20201030CZHT120	Bmp1-other
20201030WFFT053	Bmp1-other
20201030WFFT053	Bmp1-other
20201030WFFT053	Bmp1-other
20201030WFFT053	Bmp1-other
20201102CZHT161	Bmp1-other
20201102CZHT161	Bmp1-other
20201011ZZHT003	Bmp1-other
20201012LHCT008	Bmp1-other
20201012LHCT008	Bmp1-other
20201012LHCT008	Bmp1-other
20201012LHCT008	Bmp1-other
20201012YYCT009	Bmp1-other
20201012YYCT009	Bmp1-other
20201012YYCT009	Bmp1-other
20201012YYCT009	Bmp1-other
20201012YYCT012	Bmp1-other
20201012YYCT012	Bmp1-other
20201012YYCT012	Bmp1-other
20201012YYCT012	Bmp1-other
20201013YYCT028	Bmp1-other
20201013YYCT028	Bmp1-other
20201013YYCT028	Bmp1-other
20201013YYCT028	Bmp1-other
20201013YYCT049	Bmp1-other
20201013YYCT049	Bmp1-other
20201013YYCT049	Bmp1-other
20201013YYCT049	Bmp1-other
20201013YYCT054	Bmp1-other
20201013YYCT054	Bmp1-other
20201013YYCT054	Bmp1-other
20201013YYCT054	Bmp1-other
20201014LRT004	Bmp1-other
20201014LRT004	Bmp1-other
20201014LRT004	Bmp1-other
20201014LRT004	Bmp1-other
20201015SJT007	Bmp1-other
20201017NXT025	Bmp1-other
20201017NXT025	Bmp1-other
20201017NXT025	Bmp1-other
20201017NXT025	Bmp1-other
20201017YMT071	Bmp1-other
20201017YMT071	Bmp1-other
20201017YMT071	Bmp1-other
20201017YMT071	Bmp1-other
20201017YMT073	Bmp1-other
20201017YMT073	Bmp1-other
20201020SJT016	Bmp1-other
20201020SJT016	Bmp1-other
20201020SJT016	Bmp1-other
20201020SJT023	Bmp1-other
20201020SJT023	Bmp1-other
20201020SJT023	Bmp1-other
20201020SJT026	Bmp1-other
20201020SJT026	Bmp1-other
20201020SJT026	Bmp1-other
20201020SJT026	Bmp1-other
20201021CSMT020	Bmp1-other
20201021CSMT020	Bmp1-other
20201021CSMT020	Bmp1-other
20201021CSMT020	Bmp1-other
20201021CSMT020	Bmp1-other
20201021CSMT020	Bmp1-other
20201021CSMT020	Bmp1-other
20201021CSMT020	Bmp1-other
20201021CSMT020	Bmp1-other
20201021CSMT020	Bmp1-other
20201021CSMT020	Bmp1-other
20201022NXT034	Bmp1-other
20201022NXT034	Bmp1-other
20201022SJTO29	Bmp1-other
20201022SJTO29	Bmp1-other
20201102CZHT161	Bmp1-other
20201102CZHT161	Bmp1-other
20201102CZHT177	Bmp1-other
20201102CZHT177	Bmp1-other
20201102CZHT177	Bmp1-other
20201102CZHT177	Bmp1-other
20201107LHCTO25	Bmp1-other
20201107LHCTO25	Bmp1-other
20201107LHCTO25	Bmp1-other
20201107LHCTO25	Bmp1-other
