gene,number
Cry20Aa,20
Cry24Aa,20
Cry32,21
Cry3Aa,22
Cry11Bb,23
Cry59Aa,24
Cry37,24
Cry9Aa,24
Cry39Ab,25
Cry1Ac,26
Cry58Aa,28
Cry13Aa,31
Cry5Ac,32
Vip2Ad1,35
Cry8Ea,36
Cry8Ea,36
Cry3Ba,36
Vip1Da1,37
Cry22Ba,37
Cry37Aa,39
Cry49Ab,39
Cry11Ba,40
Cry39,42
Cry21Ba,42
Cry30Aa,42
Cry2Ab,42
Cry45Aa,46
Cry40,47
SipA,49
Cry20,50
Cry1Ca,51
Cry1Da,53
Vip2A,53
Vip2-04,54
Cry31Aa,57
Cry49,60
Cry49Ab,61
Cry4Aa,62
Mpp64Aa1,62
Vip1Ca1,64
Cry21Ba,65
Vip1Ba2,66
Sip1A,67
Cry9Ea,68
Cyt2Aa1,69
Cry3Ca,70
Cry15Aa,71
Cry1Ja,71
Cry35Ab,72
Cry4Ca,72
Cyt1Ca1,72
Cry51Aa,78
Cry2Ab,78
Cyt2Ca1,81
Mpp,82
Cry49Aa,83
Cry20Aa,86
enhancin-protein(Bel),86
Cry14-4,87
Cry41Aa,89
Cry1Aa,90
Vip1A,100
Enhancin-other,101
Vpa,101
Cry1Id,109
Cry55Aa,109
Cry1Gc,110
Mpp60Ba3,118
Cry1Ea,123
ChitinaseC-other,125
InhA2-other,132
Vip2Ba1,137
cry6Aa,145
Cry32Aa,157
VIP2A(BR),159
Vip1A(BR),165
Vpb,165
Cry55Aa,166
Cry46,177
Cry8Fa,188
Vip1Bb1,205
Cry1Aa,206
Vpb4Ca1,215
Vip1Aa2,221
Cry,228
Spp1Aa1,234
Cry1Ba,243
Zwa6-other,265
Cry1Be,281
Cry1Ac,312
Cry1Aa,339
InhA1-other,356
Cry42Aa,357
Vip4,369
Cry2Ab,377
Cry2Aa,386
Cry46Ab,401
mosquitocidal,402
Cry49Aa,435
Bmp1-other,463
Crystal,485
Vip3A,501
Cry15Aa,502
Cry1Ia,505
Vip2,536
VIP3,560
Zwa5A-other,575
Cry3Aa,592
VIP2Aa2,677
enhancin,978
chitinase,1026
Cry5Ba,1546
VIP1,1998
Cry4Ba,2054
Cry6Ba,6656
Cry22Aa,10142
