strain	toxin
20150804YYYT107	Vpb4Ca1
20150804YYYT113	App4Aa1
20150804YYYT113	Mpp46Ab1
20150804YYYT96	Tpp80Ab1
20150804YYYT96	Xpp22Bb1
20150804YYYT96	App1Aa1
20150806YYYP042	Tpp78Ba1
20150806YYYP042	Vpb1Ba2
20150806YYYP042	Vpb4Ca1
20150807YYYP45	Cry70Bb1
20150807YYYP46	Mpp46Ab1
20150807YYYP46	Vpb4Ca1
20150813YYYT169	Vpb1Ab1
20150626LHMT260	Vpb4Ca1
20150626LHMT260	Vpb4Aa2
20150626LHMT260	Vpb4Ca1
20150626WST178	App4Aa1
20150626WST178	Cry70Bb1
20150626WST178	Mpp2Aa4
20150626WST178	Cry20Aa1
20150626WST178	Cry20Aa1
20150626WST178	Cry53Ab1
20150626WST178	Cry4Da1
20150626WST178	Mpp2Aa2
20150626WST178	Cry20Aa1
20150626WST178	Mpp2Aa4
20150626WST178	Tpp1Aa4
20150626WST178	Vpa2Bb4
20150627WST191	Tpp1Aa5
20150627WST191	Vpb4Ca1
20150627WST191	Vpb4Aa2
20150703WST204	Vpb4Ca1
20150703WST204	Vpb4Aa2
20150703WST204	Vpb4Ca1
20150709XART277	Vpb4Ca1
20150709XART277	Vpb4Aa2
20150709XART277	Vpb4Ca1
20150712ZJT003	Vpb4Ca1
20150712ZJT003	Vpb4Aa2
20150712ZJT003	Vpb4Ca1
20150712ZJT007	Vpb4Ca1
20150714ZJT025	Vpb4Ca1
20150714ZJT025	Vpb4Aa2
20150714ZJT025	Vpb4Ca1
20150717ZJT065	Vpb4Ca1
20150717ZJT065	Vpb4Ca1
20150717ZJT068	Vpb4Ca1
20150717ZJT068	Vpb4Ca1
20150717ZJT090	Vpb4Ca1
20150717ZJT090	Vpb4Ca1
20150721SYNT004	Vpb4Ca1
20150721SYNT004	Vpb4Ca1
20150721SYNT025	Vpb4Ca1
20150721SYNT025	Vpb4Ca1
20150721SYNT039	Vpb4Ca1
20150721SYNT039	Vpb4Aa2
20150721SYNT039	Vpb4Ca1
20150721SYNT051	Vpb4Ca1
20150721SYNT051	Vpb4Aa2
20150721SYNT051	Vpb4Ca1
20150724TZMT016	Vpb4Ca1
20150724TZMT016	Vpb4Ca1
20150728SYNT062	Tpp80Ab1
20150728SYNT062	Cyt2Ca1
20150728SYNT062	Cry8Sa1
20150728SYNT062	Cry8Bc1
20150728SYNT062	Cry8Hb1
20150728SYNT062	Mpp60Ba3
20150728SYNT062	Mpp60Ba3
20150728SYNT062	Cry8Ib3
20150728SYNT062	Cry8La1
20150728SYNT062	Cry8Ib3
20150728SYNT062	Mpp3Aa8
20150728TZMT028	Vpb4Ca1
20150728TZMT028	Vpb4Ca1
20150728TZMT047	Mpp46Ab1
20150728TZMT049	Vpb4Ca1
20150728TZMT049	Vpb4Aa2
20150728TZMT049	Vpb4Ca1
20150728TZMT050	Mpp46Ab1
20150728TZMT050	Cry59Ba1
20150728TZMT050	Cry4Da1
20150728TZMT050	Cry50Aa1
20150728TZMT050	Cry4Ba4
20150728TZMT050	Cry4Ba5
20150728TZMT050	Cry20Ba2
20150728TZMT050	Cry4Ca2
20150728TZMT050	Cry30Ca1
20150728TZMT050	Cry4Da1
20150728TZMT050	Cry30Ba1
20150728TZMT050	Cry4Ca1
20150728TZMT050	Cry4Cb1
20150728TZMT050	Cry4Cb1
20150728TZMT050	Cry4Da1
20150728TZMT050	Cry4Cb2
20150728TZMT050	Cry4Ca1
20150728TZMT050	Mpp46Ab1
20150728TZMT051	Vpb4Ca1
20150728TZMT051	Vpb4Ca1
20150728TZMT053	Vpa2Ba2
20150728TZMT053	Xpp37Aa1
20150728TZMT053	Mpp23Aa1
20150728TZMT053	Cry3Aa7
20150728TZMT053	Vpa2Ba2
20150728TZMT053	Vpb1Da1
20150728TZMT053	Vpa2Ab1
20150728TZMT053	Vpb1Ab1
20150728TZMT053	Vpa2Bb4
20150728TZMT053	Vpb1Ad1
20150728TZMT053	Mpp5Ab1
20150728TZMT065	Vpb4Ca1
20150728TZMT065	Vpb4Aa2
20150728TZMT065	Vpb4Ca1
20150728TZMT075	Mpp46Ab1
20150730TZMT109	Tpp80Ab1
20150730TZMT109	Cry32Ta1
20150730TZMT109	Cyt1Ca1
20150730TZMT109	App4Aa1
20150730TZMT109	Vpb4Ca1
20150730TZMT109	Vpb4Ca1
20150731ZJT168	Cry70Aa1
20150731ZJT168	Vpb4Aa1
20150731ZJT168	Cry13Aa2
20150731ZJT168	Cry21Ca2
20150731ZJT168	Cry13Aa2
20150731ZJT168	Cry21Ga1
20150731ZJT168	Cry12Aa1
20150731ZJT168	Cry13Aa2
20150731ZJT174	Cry70Aa1
20150731ZJT174	Vpb4Aa1
20150731ZJT174	Cry13Aa2
20150731ZJT174	Cry13Aa2
20150731ZJT174	Cry21Ca2
20150731ZJT174	Cry21Ga1
20150731ZJT174	Cry12Aa1
20150731ZJT174	Cry13Aa2
20150731ZJT176	Mpp46Ab1
20150803SYNT077	Tpp80Aa1
20150803SYNT081	Cry4Ca1
20150803SYNT081	Cry4Cc1
20150803SYNT081	Vpb4Ca1
20150803SYNT081	Cyt2Aa4
20150803SYNT081	Cyt1Da2
20150803SYNT081	Cry54Aa2
20150803SYNT081	Mpp46Ab1
20150803SYNT081	Cry4Aa4
20150803SYNT081	Cry68Aa1
20150803SYNT081	Cry68Aa1
20150803SYNT081	Vpb4Ca1
20150803SYNT081	Cry53Ab1
20150803SYNT081	Cry4Ba5
20150803SYNT081	Cry4Aa4
20150803SYNT081	Cry4Ca2
20150803SYNT081	Cry69Aa2
20150803SYNT081	Cry59Aa1
20150803SYNT081	Cry4Ca2
20150803SYNT081	Tpp80Aa1
20150803SYNT081	Cry28Aa2
20150803SYNT081	Cry68Aa1
20150803SYNT081	Cry68Aa1
20150803SYNT081	Cry70Ba1
20150803SYNT081	Cry4Ba5
20150803SYNT081	Cry30Fa1
20150803SYNT088	Mpp46Ab1
20150803SYNT088	Cyt2Ca1
20150803ZJT190	Tpp80Aa1
20150803ZJT190	Tpp80Ab1
20150803ZJT201	Mpp46Ab1
20150805TZMT125	Vpb4Ca1
20150805TZMT125	Vpa2Af2
20150805TZMT125	Cry21Ca2
20150805TZMT125	Cry58Aa1
20150805TZMT132	Cry70Aa1
20150805TZMT132	Vpb4Aa1
20150805TZMT132	Cry13Aa2
20150805TZMT132	Cry13Aa2
20150805TZMT132	Cry21Ca2
20150805TZMT132	Cry21Ga1
20150805TZMT132	Cry12Aa1
20150805TZMT132	Cry13Aa2
20150805TZMT141	Vpb4Ca1
20150805TZMT141	Vpb4Aa2
20150805TZMT141	Vpb4Ca1
20150805TZMT143	Vpb4Ca1
20150805TZMT143	Vpb4Aa2
20150805TZMT143	Vpb4Ca1
20150806SYNT098	Tpp80Ab1
20150806SYNT108	Tpp80Ab1
20150806SYNT108	Vpb4Ca1
20150806TZMT161	Vpb4Ca1
20150806TZMT161	Cyt2Aa4
20150806TZMT161	Cyt1Da2
20150806TZMT161	Cry54Aa2
20150806TZMT161	Cry4Aa4
20150806TZMT161	Cry69Aa2
20150806TZMT161	Cry4Ba5
20150806TZMT161	Cry30Fa1
20150806TZMT161	Cry68Aa1
20150806TZMT161	Cry68Aa1
20150806TZMT161	Vpb4Ca1
20150806TZMT161	Cry53Ab1
20150806TZMT161	Cry4Ba5
20150806TZMT161	Cry4Aa4
20150806TZMT161	Cry4Ca2
20150806TZMT161	Cry59Aa1
20150806TZMT161	Cry4Ca2
20150806TZMT161	Tpp80Aa1
20150806TZMT161	Cry28Aa2
20150806TZMT161	Cry68Aa1
20150806TZMT161	Cry68Aa1
20150806TZMT161	Cry70Ba1
20150806TZMT161	Mpp46Ab1
20150806TZMT161	Cry4Ca1
20150807ZJT220	Cyt2Ca1
20150808SYNT113	Vpb4Ca1
20150808SYNT113	Vpb4Aa2
20150811TZMT166	Vpb4Ca1
20150908YYYT006	Cry62Aa1
20150908YYYT006	Vpa2Aa3
20150908YYYT006	Vpb4Ca1
20150908YYYT006	Cry32Ra1
20150908YYYT006	Vpb4Ca1
20150908YYYT006	Tpp78Aa1
20150908YYYT006	Cry32La1
20150908YYYT006	Tpp80Ab1
20150908YYYT006	Vpb4Ca1
20150908YYYT006	Cry32Ma1
20150908YYYT006	Cry32Qa1
20150908YYYT006	Mpp74Aa1
20150908YYYT006	Mpp45Aa1
20150908YYYT006	Cry32Hb2
20150908YYYT010	Cry68Aa1
20150908YYYT010	Cry9Ga1
20150908YYYT010	Cry40Da1
20150908YYYT010	Cry4Ca1
20150908YYYT010	Cry69Aa2
20150908YYYT010	Cry70Ba1
20150908YYYT010	Cry70Aa1
20150908YYYT010	Vpb4Ca1
20150908YYYT010	Mpp15Aa1
20150908YYYT010	Cry68Aa1
20150908YYYT015	Vpb4Ca1
20150908YYYT023	Tpp78Aa1
20150908YYYT023	Vpb4Ca1
20150908YYYT023	Cry32Ta1
20150908YYYT023	Cry62Aa1
20150908YYYT023	Cry32Ha2
20150908YYYT023	Vpb4Ca1
20150908YYYT023	Vpb4Ca1
20150908YYYT023	Vpb4Ca1
20150908YYYT023	Mpp75Aa3
20150908YYYT023	Vpb4Ca1
20150908YYYT023	Cry32Va1
20150908YYYT023	Cry32Qa1
20150908YYYT023	Cry32Va1
20150908YYYT023	Cry32Ra1
20150908YYYT023	Cry62Aa1
20150908YYYT023	Cry41Ab1
20150908YYYT023	Cry32Aa1
20150908YYYT023	Cry32Ka1
20150908YYYT023	Cry32Ta1
20150908YYYT023	Cry32Ra1
20150908YYYT023	Cry32Ta1
20150908YYYT023	Cry62Aa1
20150908YYYT023	Cry32Ja1
20150908YYYT023	Cry32Ja1
20150908YYYT023	Cry32Fa1
20150908YYYT023	Cry32Ra1
20150908YYYT023	Cry62Aa1
20150908YYYT023	Cry62Aa1
20150908YYYT023	Vpb4Ca1
20150908YYYT023	Mpp74Aa1
20150908YYYT023	Mpp45Aa1
20150908YYYT023	Cry32Eb1
20150908YYYT023	Cry73Aa1
20150908YYYT023	Cry32Hb2
20150908YYYT023	Vpa2Aa3
20150908YYYT023	Vpb4Ca1
20150908YYYT084	Vpb4Ca1
20150908YYYT084	Vpb4Ca1
20150908YYYT084	Vpb4Aa2
20150908YYYT087	Vpb4Aa2
20150908YYYT087	Vpb4Ca1
20150908YYYT087	Vpb4Ca1
20150908YYYT087	Vpb1Ba2
20150908YYYT087	Vpb4Ca1
20150908YYYT087	Tpp78Ba1
20150908YYYT092	Cry68Aa1
20150908YYYT092	Cry40Da1
20150908YYYT092	Cry4Ca1
20150908YYYT092	Mpp15Aa1
20150908YYYT092	Cry69Aa2
20150908YYYT092	Cry70Ba1
20150908YYYT092	Cry70Aa1
20150908YYYT092	Vpb4Ca1
20150908YYYT092	Cry68Aa1
20150908YYYT092	Cry68Aa1
20150908YYYT092	Cry9Ga1
20150908YYYT098	Vpb4Ca1
20150908YYYT098	Vpb4Aa2
20150908YYYT098	Vpb4Ca1
20150908YYYT137	Vpb4Ca1
20150908YYYT137	Vpb4Ca1
20150910WLTT046	Tpp80Ab1
20150910WLTT046	Vpb4Ca1
20150910YYYT018	Tpp80Ab1
20150910YYYT106	Vpb4Ca1
20150910YYYT106	Vpb4Ca1
20150910YYYT108	Vpb4Ca1
20150910YYYT108	Vpb4Aa2
20150910YYYT108	Vpb4Ca1
20150910YYYT118	Vpb4Ca1
20150910YYYT118	Vpb4Ca1
20150910YYYT122	Vpb4Ca1
20150910YYYT122	Vpb4Ca1
20150910YYYT129	Tpp80Ab1
20150910YYYT129	Tpp80Ab1
20150910YYYT129	Vpb1Ab1
20150910YYYT139	Cry1Aa6
20150910YYYT139	Cry1Ac9
20150910YYYT139	Cry1Aa18
20150910YYYT139	Cry1Ac5
20150910YYYT139	Mpp46Ab1
20150910YYYT139	Vpb4Ca1
20150910YYYT139	Cry2Aa9
20150910YYYT139	Cry1Ia44
20150910YYYT139	Vip3Aa7
20150910YYYT139	Cry2Ab35
20150910YYYT149	Cry1Ia44
20150910YYYT149	Cry2Aa9
20150910YYYT149	Cry1Aa6
20150910YYYT149	Cry1Ac9
20150910YYYT149	Cry1Aa18
20150910YYYT149	Cry1Ac5
20150910YYYT149	Mpp46Ab1
20150910YYYT149	Vpb4Ca1
20150910YYYT149	Vip3Aa7
20150910YYYT149	Cry2Ab35
20150910YYYT167	Vpb4Ca1
20150911WLTT051	Tpp80Aa1
20150911WLTT051	Tpp80Aa1
20150913WLTT064	Xpp22Ba1
20150913WLTT064	Tpp49Aa4
20150913WLTT064	Cry9Aa3
20150913WLTT064	Tpp49Ab1
20150913WLTT064	Cry4Ba2
20150913WLTT064	Cry4Ba4
20150913WLTT064	Cry27Aa1
20150913WLTT064	Cry69Aa1
20150913WLTT064	Cry53Aa1
20150913WLTT064	Cry4Da1
20150913WLTT064	Cry4Da1
20150913WLTT064	Cry4Aa4
20150913WLTT064	Cry4Ba5
20150913WLTT064	Cry70Bb1
20150913WLTT064	Mpp2Aa5
20150913WLTT064	App4Aa1
20150913WLTT064	Cry70Ba1
20150913WLTT064	Cry70Bb1
20150913WLTT064	Cry70Bb1
20150913WLTT064	Cry4Aa4
20150913WLTT078	Tpp80Aa1
20150913WLTT078	Tpp80Aa1
20150913WLTT080	Vpb4Ca1
20150913WLTT080	Vpb4Ca1
20150913WLTT086	Vpb4Ca1
20150913WLTT086	Tpp80Ab1
20150914WLTT089	Tpp80Ab1
20150914WLTT097	Vpb4Ca1
20150914WLTT097	Vpb4Aa2
20150914WLTT097	Vpb4Ca1
20150915WLTT103	Cry1Aa6
20150915WLTT103	Cry1Ac9
20150915WLTT103	Cry1Aa18
20150915WLTT103	Cry1Ac5
20150915WLTT103	Mpp46Ab1
20150915WLTT103	Vpb4Ca1
20150915WLTT103	Cry2Aa9
20150915WLTT103	Cry1Ia44
20150915WLTT103	Vip3Aa7
20150915WLTT103	Cry2Ab35
20150915WLTT105	Cry1Ia44
20150915WLTT105	Cry2Aa9
20150915WLTT105	Cry1Aa6
20150915WLTT105	Cry1Ac9
20150915WLTT105	Cry1Aa18
20150915WLTT105	Cry1Ac5
20150915WLTT105	Mpp46Ab1
20150915WLTT105	Vpb4Ca1
20150915WLTT105	Vip3Aa7
20150915WLTT105	Cry2Ab35
20150924WLTT107	Cry1Aa6
20150924WLTT107	Cry1Ac9
20150924WLTT107	Cry1Aa18
20150924WLTT107	Cry1Ac5
20150924WLTT107	Mpp46Ab1
20150924WLTT107	Cry2Aa9
20150924WLTT107	Cry1Ia44
